episode,reward,length
0,-412.0,100
1,-229.0,100
2,-600.0,100
3,-249.0,100
4,-230.0,100
5,-163.0,100
6,-772.0,100
7,-536.0,100
8,-170.0,100
9,-543.0,100
10,-238.0,100
11,-554.0,100
12,-181.0,100
13,-286.0,100
14,-393.0,100
15,-793.0,100
16,-451.0,100
17,-223.0,100
18,-282.0,100
19,-329.0,100
20,-240.0,100
21,-656.0,100
22,-504.0,100
23,-567.0,100
24,-234.0,100
25,-221.0,100
26,-200.0,100
27,-208.0,100
28,-315.0,100
29,149.0,100
30,-252.0,100
31,-566.0,100
32,-297.0,100
33,-48.0,100
34,-530.0,100
35,-8.0,100
36,-98.0,100
37,-356.0,100
38,-356.0,100
39,-214.0,100
40,-257.0,100
41,-202.0,100
42,-205.0,100
43,-224.0,100
44,-652.0,100
45,-255.0,100
46,-142.0,100
47,-297.0,100
48,-100.0,100
49,-34.0,100
50,-176.0,100
51,-63.0,100
52,-13.0,100
53,76.0,100
54,-152.0,100
55,-66.0,100
56,-14.0,100
57,-132.0,100
58,-255.0,100
59,-68.0,100
60,-120.0,100
61,-112.0,100
62,36.0,100
63,-21.0,100
64,138.0,100
65,-201.0,100
66,-155.0,100
67,-77.0,100
68,-113.0,100
69,181.0,100
70,-62.0,100
71,158.0,100
72,92.0,100
73,238.0,100
74,215.0,100
75,131.0,100
76,222.0,100
77,270.0,100
78,-155.0,100
79,19.0,100
80,253.0,100
81,201.0,100
82,298.0,100
83,228.0,100
84,100.0,100
85,164.0,100
86,520.0,100
87,147.0,100
88,89.0,100
89,581.0,100
90,285.0,100
91,448.0,100
92,188.0,100
93,380.0,100
94,37.0,100
95,295.0,100
96,27.0,100
97,166.0,100
98,456.0,100
99,238.0,100
100,693.0,100
101,326.0,100
102,423.0,100
103,322.0,100
104,495.0,100
105,213.0,100
106,432.0,100
107,509.0,100
108,318.0,100
109,260.0,100
110,243.0,100
111,465.0,100
112,419.0,100
113,321.0,100
114,468.0,100
115,404.0,100
116,342.0,100
117,459.0,100
118,547.0,100
119,145.0,100
120,535.0,100
121,529.0,100
122,674.0,100
123,622.0,100
124,372.0,100
125,669.0,100
126,347.0,100
127,309.0,100
128,558.0,100
129,399.0,100
130,699.0,100
131,524.0,100
132,610.0,100
133,390.0,100
134,582.0,100
135,857.0,100
136,550.0,100
137,750.0,100
138,722.0,100
139,666.0,100
140,610.0,100
141,515.0,100
142,713.0,100
143,561.0,100
144,729.0,100
145,501.0,100
146,773.0,100
147,667.0,100
148,751.0,100
149,608.0,100
150,592.0,100
151,633.0,100
152,641.0,100
153,745.0,100
154,841.0,100
155,689.0,100
156,635.0,100
157,651.0,100
158,919.0,100
159,564.0,100
160,620.0,100
161,789.0,100
162,552.0,100
163,870.0,100
164,820.0,100
165,822.0,100
166,972.0,100
167,1039.0,100
168,902.0,100
169,853.0,100
170,641.0,100
171,920.0,100
172,996.0,100
173,801.0,100
174,640.0,100
175,872.0,100
176,897.0,100
177,922.0,100
178,654.0,100
179,934.0,100
180,905.0,100
181,769.0,100
182,885.0,100
183,1070.0,100
184,822.0,100
185,869.0,100
186,885.0,100
187,942.0,100
188,975.0,100
189,945.0,100
190,952.0,100
191,977.0,100
192,1064.0,100
193,1022.0,100
194,900.0,100
195,795.0,100
196,1030.0,100
197,1055.0,100
198,1070.0,100
199,1075.0,100
200,1065.0,100
201,1070.0,100
202,990.0,100
203,1045.0,100
204,1055.0,100
205,952.0,100
206,1055.0,100
207,1100.0,100
208,1005.0,100
209,1097.0,100
210,985.0,100
211,1165.0,100
212,1000.0,100
213,1150.0,100
214,1080.0,100
215,955.0,100
216,907.0,100
217,872.0,100
218,1065.0,100
219,1115.0,100
220,1060.0,100
221,932.0,100
222,1070.0,100
223,930.0,100
224,1070.0,100
225,1119.0,100
226,970.0,100
227,1040.0,100
228,1070.0,100
229,1055.0,100
230,905.0,100
231,1019.0,100
232,812.0,100
233,975.0,100
234,1055.0,100
235,940.0,100
236,970.0,100
237,1112.0,100
238,880.0,100
239,875.0,100
240,1077.0,100
241,1142.0,100
242,1015.0,100
243,912.0,100
244,1090.0,100
245,935.0,100
246,1050.0,100
247,970.0,100
248,920.0,100
249,1040.0,100
250,1019.0,100
251,1095.0,100
252,1095.0,100
253,1050.0,100
254,932.0,100
255,970.0,100
256,992.0,100
257,1100.0,100
258,905.0,100
259,1115.0,100
260,887.0,100
261,1037.0,100
262,1025.0,100
263,1090.0,100
264,955.0,100
265,990.0,100
266,1125.0,100
267,1067.0,100
268,1030.0,100
269,1105.0,100
270,924.0,100
271,1030.0,100
272,1080.0,100
273,980.0,100
274,932.0,100
275,942.0,100
276,1082.0,100
277,952.0,100
278,965.0,100
279,1137.0,100
280,977.0,100
281,1162.0,100
282,905.0,100
283,1045.0,100
284,1040.0,100
285,1107.0,100
286,1050.0,100
287,1077.0,100
288,895.0,100
289,1032.0,100
290,880.0,100
291,1072.0,100
292,1055.0,100
293,1025.0,100
294,1065.0,100
295,960.0,100
296,855.0,100
297,1010.0,100
298,1100.0,100
299,1045.0,100
300,1050.0,100
301,1185.0,100
302,925.0,100
303,1035.0,100
304,1002.0,100
305,1005.0,100
306,925.0,100
307,1040.0,100
308,1045.0,100
309,1062.0,100
310,1035.0,100
311,1029.0,100
312,1065.0,100
313,967.0,100
314,1070.0,100
315,990.0,100
316,1010.0,100
317,925.0,100
318,1002.0,100
319,1115.0,100
320,1020.0,100
321,1092.0,100
322,937.0,100
323,1105.0,100
324,1100.0,100
325,1020.0,100
326,1075.0,100
327,1075.0,100
328,1130.0,100
329,1027.0,100
330,1135.0,100
331,1050.0,100
332,834.0,100
333,1200.0,100
334,985.0,100
335,1010.0,100
336,1015.0,100
337,1097.0,100
338,1045.0,100
339,1070.0,100
340,1045.0,100
341,1070.0,100
342,980.0,100
343,925.0,100
344,1095.0,100
345,1017.0,100
346,1095.0,100
347,1060.0,100
348,1030.0,100
349,1035.0,100
350,1052.0,100
351,1030.0,100
352,1080.0,100
353,902.0,100
354,1065.0,100
355,1067.0,100
356,960.0,100
357,1150.0,100
358,1025.0,100
359,1120.0,100
360,1102.0,100
361,1075.0,100
362,1090.0,100
363,1050.0,100
364,1035.0,100
365,1170.0,100
366,1167.0,100
367,940.0,100
368,1075.0,100
369,1070.0,100
370,1005.0,100
371,1112.0,100
372,1037.0,100
373,1082.0,100
374,1125.0,100
375,990.0,100
376,1097.0,100
377,927.0,100
378,932.0,100
379,915.0,100
380,1162.0,100
381,937.0,100
382,1065.0,100
383,1012.0,100
384,945.0,100
385,990.0,100
386,980.0,100
387,1005.0,100
388,1025.0,100
389,1070.0,100
390,1140.0,100
391,972.0,100
392,1025.0,100
393,1150.0,100
394,950.0,100
395,1070.0,100
396,1055.0,100
397,967.0,100
398,1025.0,100
399,945.0,100
400,1035.0,100
401,1125.0,100
402,1125.0,100
403,1127.0,100
404,1185.0,100
405,1140.0,100
406,1035.0,100
407,857.0,100
408,1015.0,100
409,915.0,100
410,965.0,100
411,1040.0,100
412,995.0,100
413,1015.0,100
414,930.0,100
415,1010.0,100
416,1070.0,100
417,1015.0,100
418,955.0,100
419,1045.0,100
420,1000.0,100
421,1062.0,100
422,1002.0,100
423,1120.0,100
424,1155.0,100
425,1107.0,100
426,1027.0,100
427,1000.0,100
428,1069.0,100
429,1020.0,100
430,1070.0,100
431,1167.0,100
432,1165.0,100
433,1132.0,100
434,1160.0,100
435,992.0,100
436,990.0,100
437,1095.0,100
438,955.0,100
439,1080.0,100
440,1035.0,100
441,1077.0,100
442,1022.0,100
443,942.0,100
444,1072.0,100
445,1110.0,100
446,1115.0,100
447,1060.0,100
448,1035.0,100
449,1030.0,100
450,895.0,100
451,1092.0,100
452,1042.0,100
453,1137.0,100
454,1090.0,100
455,1090.0,100
456,970.0,100
457,1055.0,100
458,982.0,100
459,890.0,100
460,1017.0,100
461,1105.0,100
462,1017.0,100
463,1070.0,100
464,787.0,100
465,1055.0,100
466,895.0,100
467,1080.0,100
468,990.0,100
469,945.0,100
470,1100.0,100
471,1145.0,100
472,972.0,100
473,1115.0,100
474,825.0,100
475,1077.0,100
476,1065.0,100
477,1020.0,100
478,950.0,100
479,1242.0,100
480,1170.0,100
481,1140.0,100
482,1060.0,100
483,1240.0,100
484,1030.0,100
485,1080.0,100
486,1000.0,100
487,950.0,100
488,1007.0,100
489,965.0,100
490,1120.0,100
491,1077.0,100
492,1005.0,100
493,1065.0,100
494,927.0,100
495,1170.0,100
496,970.0,100
497,1077.0,100
498,841.0,100
499,1065.0,100
500,985.0,100
501,1025.0,100
502,902.0,100
503,1125.0,100
504,1132.0,100
505,1095.0,100
506,1092.0,100
507,932.0,100
508,1120.0,100
509,900.0,100
510,1070.0,100
511,917.0,100
512,1055.0,100
513,1017.0,100
514,982.0,100
515,1085.0,100
516,920.0,100
517,1120.0,100
518,1010.0,100
519,980.0,100
520,935.0,100
521,1035.0,100
522,1035.0,100
523,1130.0,100
524,1037.0,100
525,987.0,100
526,1017.0,100
527,1075.0,100
528,880.0,100
529,1160.0,100
530,975.0,100
531,1080.0,100
532,1115.0,100
533,1072.0,100
534,1025.0,100
535,1055.0,100
536,1015.0,100
537,1080.0,100
538,1027.0,100
539,1015.0,100
540,1067.0,100
541,1000.0,100
542,1095.0,100
543,1137.0,100
544,1082.0,100
545,1150.0,100
546,1105.0,100
547,1100.0,100
548,1055.0,100
549,1085.0,100
550,1005.0,100
551,1120.0,100
552,1065.0,100
553,1047.0,100
